ad_date,campaign,device,location,impressions,clicks,cost,sale_amount,conversions,ctr,cpc,cpm,cvr,roas
2024-01-11,Data Analytics Course,desktop,Hyderabad,43657.0,1428.0,2127.71,13723.0,58.0,0.032709531117575644,1.4899929971988797,48.73697230684655,0.04061624649859944,6.449657143125708
2024-01-11,Data Analytics Course,mobile,Hyderabad,25387.0,858.0,1333.05,8025.0,45.0,0.03379682514672864,1.5536713286713286,52.50915823059046,0.05244755244755245,6.020029256216946
2024-01-11,Data Analytics Course,tablet,Hyderabad,24660.0,880.0,1355.63,8483.0,28.0,0.035685320356853206,1.5404886363636365,54.972830494728306,0.031818181818181815,6.2576071641967195
2024-02-11,Data Analytics Course,desktop,Hyderabad,48900.0,1423.0,2371.15,13874.0,75.0,0.029100204498977506,1.6663035839775124,48.48977505112475,0.05270555165144062,5.851169263859308
2024-02-11,Data Analytics Course,mobile,Hyderabad,30505.0,905.0,1562.75,11870.0,53.0,0.029667267661039175,1.7267955801104973,51.229306671037534,0.05856353591160221,7.595584706446968
2024-02-11,Data Analytics Course,tablet,Hyderabad,36433.0,870.0,1590.49,9847.0,48.0,0.023879449949221858,1.8281494252873562,43.655202700848136,0.05517241379310345,6.191173789209615
2024-03-11,Data Analytics Course,desktop,Hyderabad,63194.0,1958.0,2836.59,19323.0,86.0,0.030983954172864512,1.4487180796731358,44.887014589992724,0.043922369765066395,6.812052499656277
2024-03-11,Data Analytics Course,mobile,Hyderabad,26191.0,751.0,1067.69,8741.0,41.0,0.028673971975105954,1.4216910785619175,40.76553014394258,0.05459387483355526,8.186833256844215
2024-03-11,Data Analytics Course,tablet,Hyderabad,50842.0,1241.0,2175.13,12763.0,69.0,0.024408953227646434,1.752723609991942,42.782148617284925,0.055600322320709106,5.867695264191106
2024-04-11,Data Analytics Course,desktop,Hyderabad,33199.0,1266.0,1765.62,12476.0,45.0,0.03813367872526281,1.394644549763033,53.1829271966023,0.035545023696682464,7.066073107463668
2024-04-11,Data Analytics Course,mobile,Hyderabad,56628.0,1769.0,2578.35,17028.0,65.0,0.031238963057144874,1.45751837196156,45.53136257681712,0.03674392312040701,6.60422363139217
2024-04-11,Data Analytics Course,tablet,Hyderabad,25872.0,848.0,1039.99,7644.0,21.0,0.03277674706246135,1.2264033018867924,40.19751082251082,0.024764150943396228,7.350070673756479
2024-05-11,Data Analytics Course,desktop,Hyderabad,26333.0,1135.0,1130.48,7887.0,48.0,0.04310181141533437,0.9960176211453745,42.93016367295788,0.04229074889867841,6.976682471162692
2024-05-11,Data Analytics Course,mobile,Hyderabad,49796.0,1332.0,2173.58,15798.0,68.0,0.026749136476825447,1.6318168168168168,43.64969073821191,0.05105105105105105,7.268193487242246
2024-05-11,Data Analytics Course,tablet,Hyderabad,39848.0,1156.0,1713.79,12883.0,56.0,0.02901023890784983,1.4825173010380623,43.00818108813491,0.04844290657439446,7.517257073503755
2024-06-11,Data Analytics Course,desktop,Hyderabad,30965.0,1103.0,1756.14,10070.0,48.0,0.03562086226384628,1.5921486854034452,56.713709026320046,0.043517679057116954,5.734166979853542
